# 【完全版・マーフィーの法則】永久保存版 ～潜在意識と成功・お金・健康・幸せ～
- [Youtube](https://www.youtube.com/watch?v=QYP-iNf4VJc&t=13s)
- [Youtube](https://www.youtube.com/watch?v=puUOk2wZTcU)

  - RADIO引き寄せ	チャンネル登録者数 9360人
　　43:16	第５に、他人の意見は、あなたには何の影響もおよぼしません。
　　43:18	
　　43:23	唯一の力はあなた自身の考えです。
　　43:25	
　　43:28	他に惑わされず、自分をしっかり持つことです。
　　43:33	第６に、自分の言葉に気をつけることです。
　　43:34	
　　43:37	潜在意識にジョークは通じませんからもうだめだとか、生活していけなくなるとか、
　　43:43	決して言ってはいけません。
　　43:44	なぜなら、
　　43:46	それが実現してしまうからです。
　　43:50	第７に、すべては良いことのためにあります。
　　43:52	
　　43:55	自然の力は、
　　43:56	生命のため、良いことのために向いています。
　　44:00	あなたが悪い方向に向けない限り、良い方向へ進むのです。
　　44:05	自然の力を大いに活用してください。
　　44:09	第８に、「私にはできない」を「私には何でもできる」といいますとも言い換えることです。
　　44:11	
　　44:17	不安と恐怖心を克服し自分の無限の力を信じることです。
　　44:23	第９に、他人に植え付けられた恐怖や不安から出発してはいけません。
　　44:25	
　　44:29	自然の力と自分を信じて出発することです。
　　44:34	自分自身が本当に望む考えに従って選択し、決断してください。
　　44:41	第１０に、あなたは、自分という船の船長です。
　　44:43	
　　44:44	
　　44:47	健康と幸福と豊かさへの信で向かって船を進めてください。
　　44:53	あなたの顕在意識が認め信じたことは、どんなことでも実現してしまうことを忘れないでください。
　　45:00	




　　45:06	セッション３。あなたが今まで経験してきたすべてのデータはあなたの潜在意識の中に完全に保存されています。
　　45:13	
　　45:14	例えば、人の名前だとか旅先での風景や出来事など、
　　45:19	いつでもその中から取り出すことができるようになっています。
　　45:22	また、あなたの肉体のメカニズムを司っているのも潜在意識です。
　　45:28	パンを一切れ食べると、それは血や肉になるように、
　　45:32	潜在意識はあなたが生きていく上で、あらゆる面で重要な作用を及ぼしているのです。
　　45:39	しかも、この潜在意識は休むことも疲れることを知りません。
　　45:44	つねに働き続けています。ですから、あなたが床につく前に
　　45:48	あなたの願いを唱えてみれば、きっと潜在意識は奇跡を与えてくれます。
　　45:54	その奇跡の根源は、宇宙のエネルギーです。
　　45:59	無限の力と可能性は宇宙エネルギーの一部なのです。
　　46:03	つまり、あなたの波長が宇宙のエネルギーと同調したとき、その無限の力や可能性が奇跡を
　　46:11	起こさせるわけです。
　　46:12	理想や愛や願望というのは、あなたの潜在意識の一種の表れだと言っていいでしょう。
　　46:20	例えば、
　　46:21	シェークスピアやギリシャの彫刻家フィディアス、
　　46:26	マドンナの絵を書いたイタリアのががラファエル、そしてあのベートーヴェンがそれぞれの
　　46:31	世界で名を上げ
　　46:32	人々に賞賛されたのも彼らの理想や愛、そして
　　46:36	願望を潜在意識によって現実化させたからです。

　　46:41	一方、医学の世界では消毒していない衣を使い、
　　46:45	しかも、麻酔なしといった現代では想像もつかない手術を、実際手がけた人がいました。
　　46:51	
　　46:52	1843年から46年にかけてはエーテルなどの近代的麻酔薬はまだ発見されていませ
　　46:59	んでしたから、
　　47:00	完璧な状態で手術に臨むことなどできない時代でした。しかし、そんな中で腫瘍やがんの
　　47:07	摘出などあらゆる手術を行っていた
　　47:10	偉大な医師がいました。
　　47:12	彼の名は、ゲームズ・エスビル。スコットランド人です。
　　47:15	
　　47:17	その不完全な設備の中で、彼が手がけた大手術はほとんど成功しています。
　　47:23	もちろん、手術中に死者を出すことも一度もありませんでした。
　　47:28	では、衛生的にも不備で、麻酔もない状態で、一体どうやって大手術を成功させたのでしょう。
　　47:36	エスビルは、全ての手術を精神麻酔だけで行なっていたのです。
　　47:41	患者を催眠状態にして、苦痛もなく感染や腐敗が決して起こらないことを、患者の潜在意識に
　　47:48	植え付けました。
　　47:50	手術中、患者が苦痛に耐えきれず、死ぬこともない、手術後も順調に回復していったのは、
　　47:57	エスビル医師の暗示に、患者達も潜在意識が反応したということに他なりません。
　　48:03	今から百数十年も前に、
　　48:06	一外科医がこのような数々の奇跡を起こしていたというのは、全く驚きです。
　　48:11	しかしあなたにも、
　　48:13	自分でも気づかない力が備わっているのです。
　　48:16	例えば、透視能力だとか、予知知能、テレパシーなどこれらの現代科学では説明しきれない、
　　48:20	
　　48:24	人間の五感を超える力、または超自然現象というものは、あなたの内なる力が引き起こしているのです。
　　48:32	
　　48:34	これらはすべて、潜在意識の力によるものです。
　　48:37	あなたがこの力を信じれば、その力はもっともっと強くなりあなたに喜びを与え続けるでしょう。
　　48:44	



　　48:44	[音楽]
　　48:46	あなたの考えがあなたを作る
　　48:51	あなたが、自分の内面に書き記したことは、あなたの行動として現れてきます。
　　48:52	
　　48:57	つまり、あなたが考えたり、心に描いたりしたことは、あなた自身が実際に、環境や状態、
　　49:06	出来事として、体験するということです。
　　49:10	それは、主観と客観、または見える部分と見えない部分、
　　49:13	考えと表現のように、２つの面から成り立っています。
　　49:17	あなたの考えや、思いを受け入れるところは、脳です。
　　49:22	顕在意識はこの脳の働きによるものです。
　　49:26	この顕在意識が、何らかの考えを受け入れると、今度は精神の脳とも言われる
　　49:33	胃の裏側にある太陽神経総に送られます。	★
　　49:37	潜在意識はここにあります。
　　49:40	そしてあなたの前に実体験という形で、表れ出てきます。
　　49:46	先にも述べましたが、潜在意識は議論も反論もせず、ただ、あなたが心に思うことを実現させるだけです。
　　49:54	
　　49:55	ですから、脳から送られてきた思考が
　　49:58	太陽神経そうに入り、最終的な結論として受け取られると、それが体験という形で現れるわけです。
　　50:04	
　　50:07	アメリカの有名な随筆家エマーソンが、
　　50:12	「人は自分が一日中を考えていることそのものである」と言っていますが、それはこういった
　　50:18	意味を指しているといえます。

　　50:19	[音楽]
　　50:22	現実は潜在意識が生み出す
　　50:24	
　　50:27	あなたの潜在意識には、泉のように常に知性が湧き出しています。
　　50:32	これは生命の法則とも呼ばれ、天地を揺るがすほどの力を持って潜在意識に刻み込んだことを
　　50:39	実現させる働きがあります。ですから、あなたはいつもポジティブで前向きな考えを刻む
　　50:45	ことが大切なんです。
　　50:47	現在、
　　50:49	世界中で多くの混乱や惨事があちこちで起きているのは、私たちが自分の持つ力を真に
　　50:55	理解していないためです。
　　50:57	顕在意識と潜在意識の相互作用についての知識がないからです。
　　51:03	この２つの意識をうまく活用し、調和をとることができるなら、この地球上から病気も争い
　　51:11	もなくなるでしょう。
　　51:13	そして、永遠の幸福と愛と健康を得ることができます。
　　51:14	
　　51:19	キリストや
　　51:21	釈迦や老子など、
　　51:23	深い悟りを開いた預言者たちは共通して同じことを説いています。
　　51:28	うちのごとくまた外も、上のごとくまた下も、ということです。
　　51:33	つまり、
　　51:35	潜在意識に刻印されたものは、現実を通してあなたの目に映るわけです。
　　51:41	この大自然の法則には、作用反作用の原理があります。
　　51:46	そして、この原理は絶妙なバランスで入ってくるもの、出ていくものを等しく保っています。
　　51:54	あなたが、この世に生を受け、存在する限り、
　　51:58	この大自然の法則、すなわち、宇宙の法則に従わなければいけません。
　　52:04	もし、あなたがネガティブな考えを内に持っていると、
　　52:05	それも宇宙の法則に従い、
　　52:11	外へ出て行こうとするでしょう。
　　52:13	恐怖や情緒不安定といった、内面的な状態だけでなく、心臓病だとか
　　52:19	潰瘍といった病気に姿を変えあなたも外面に出てくれます。
　　52:25	あなたは今、
　　52:26	自分についてどう感じていますか？
　　52:29	あなたの今の健康中、
　　52:31	経済状態、友人関係、会的地位など、あなたに関わる全ての現在の状態は、あなた自身が考えて
　　52:39	いることの表れなのです。
　　52:41	あなたが感じた事は全てこころに刻印され、
　　52:45	そして、潜在意識は、あなたに実体験という形で応えています。
　　52:52	私たちは、今まで何度もネガティブな感情に苦しめられてきました。
　　52:53	
　　52:58	怒ったり、恨んだり、嫉妬したり、恐れたり、
　　53:01	これらの感情は皆、自分以外の者に向けているはずなのに
　　53:06	結局自分が一番苦しみ傷ついています。
　　53:10	これは、潜在意識んとって毒です。
　　53:13	私たちが生まれてきた時は、このような毒は持っていませんでした。
　　53:18	潜在意識は、まっさらのままでした。
　　53:21	だからこそ、子どもは無限の可能性を秘めていると言われるんです。
　　53:27	大人になるにつれて、私たちはこの毒に犯されてしまいます。
　　53:32	ですから、この毒を取り除くことです。
　　53:35	ネガティブな感情を消しさり、常に何事もポジティブに感じること、考えることです。
　　53:42	そうすれば、毒に侵された過去はすべて洗いながされ、
　　53:46	思い出すこともなくなるでしょう。



　　53:48	[音楽]
　　53:50	肉体の故障は肉体の創造者が直す
　　53:55	40年以上も前のことです。
　　53:57	私は悪性皮膚炎にかかっていました。
　　54:01	医者の治療ではその進行を止めることができず、悪化していくのただ手をこまねいて見て
　　54:06	いるだけでした。
　　54:07	ある日、私の友人で心理学に造形の深い牧師が聖書の一部を見せ、
　　54:13	こう説明してくれました。
　　54:14	[音楽]
　　54:16	汝の書き物の中には、絶えず作られたる
　　54:17	
　　54:20	我が輩のものすべて書き記されたり、いまだその一人もおらざる時に。
　　54:27	まず、
　　54:28	ここで言っている書き物とは私たちの体を形成した
　　54:32	潜在意識のことなんだと、彼は言いました。
　　54:35	その潜在意識が、君の体をつくったのであれば、その肉体の故障や不完全を治すことが
　　54:42	できるはずだというのです。
　　54:44	彼は、
　　54:46	私の前に自分の腕時計を差し出し、
　　54:50	これを見ています。
　　54:51	この時は誰かの手でつくられたものですね？
　　54:55	この時計を作った人は、
　　54:57	この時計の細部に至るまで知り尽くしているはずだ。
　　55:00	だから、もしこの時計が壊れたとしても、きっと治せるはずだ。
　　55:04	こういました。
　　55:06	この時計が私の体だったら、時計を作った人というのが潜在意識となります。
　　55:13	すると、潜在意識は私の肉体の機能や作用の細部にわたるまで知り尽くしていて、それを
　　55:19	癒したり
　　55:20	修復したりは当然できるということになるわけです。
　　55:24	ただし、そのことを私が潜在意識に改めて認識させる必要がありました。
　　55:31	私は毎日数回、繰り返し治りたいという願望を入力したのです。
　　55:35	
　　55:38	私の肉体は潜在意識によって造られました。
　　55:42	私の肉体組織もすべてを作り、管理しています。
　　55:46	今、私の体に故障が起きていますが、潜在意識はそれを発見し、すぐに癒しにかかるでしょう。
　　55:54	今も、少しずつ修復されているのを私は知っています。
　　55:59	３ヶ月後、医療では治せなかったこの皮膚病も、私の内なる力で完全に治してしまったのです。
　　56:01	
　　56:04	
　　56:08	このとき、私がやったことは健康と美と
　　56:11	完全という自己暗示をかけ、ネガティブな創造や考えを消し去っただけです。
　　56:17	ネガティブな考えや感情が
　　56:19	心の中にない限り肉体には何も現れないものです。
　　56:24	ですから、ポジティブな気持ちで心を満たしていれば、
　　56:28	永遠に健康と平和でいられるのです。
　　56:31	これこそが、治癒の根底にあるのです。



　　56:36	潜在意識と生命の仕組
　　56:39	潜在意識はあなたがどんな状態にあろうと絶えず働き続けています。
　　56:45	呼吸して新鮮な空気を血液に取り入れるために、肺や心臓などの呼吸器官を働かせています。
　　56:51	
　　56:52	消化器官や感覚器官なども同様に、生命を維持させるための働きをしています。
　　56:59	あなたが眠っていようと、目を覚ましていようと、あなたの爪や髪は伸びています。
　　57:05	しかも専門家によると、眠っているときの方が肉体は成長しているのだそうです。
　　57:11	また、あなたが精神面で気になっていることが、夢に出てくるといったような経験をした
　　57:17	ことがありませんか？
　　57:19	世に名を残した科学者たちは、よく自分たちのぶつかった難問を
　　57:23	夢の中で解決したそうです。
　　57:26	顕在意識は、時々潜在意識が行っている活動に対して
　　57:31	不信や不安を抱くことがあります。
　　57:34	これでは、折角調和しているあなたの色々な働きを自ら崩してしまうことになりますね。
　　57:41	もし心が乱れ、調和を崩しかけたら、心を無にしてリラックスしてください。	★
　　57:44	
　　57:47	そして、潜在意識に言い聞かせてください。	★
　　57:52	自然の秩序に従っている限り、自分は乱れることがなく平和で調和が取れている。と	★
　　57:55	
　　58:00	すると、
　　58:01	潜在意識はその言葉通りに反応し、あなたの身体を再び、元の状態に戻してくれるでしょう。	★
　　58:09	人の体は実に不思議で神秘的です。
　　58:11	
　　58:14	例えば、
　　58:15	あなたが毒を飲んだり、悪いものを口にしてしまえば、潜在意識は直ちにそれを拒絶し、
　　58:22	体の全ての機能を働かせて、
　　58:24	取り除こうとするでしょう。
　　58:26	あなたの生命を守り、維持させ、あなたの真に望むことを実現させるのは潜在意識の任務だからです。
　　58:33	
　　58:34	その神秘的な力を、あなたが信じることができれば、あなたに奇跡が起こります。	★
　　58:42	あなたの潜在意識は常に働いているということを、頭に入れておいてください。	★
　　58:47	ただし、その活動は目で見ることができません。	★
　　58:50	あなたが感じることができるのは、顕在意識のほうです。
　　58:55	顕在意識と潜在意識は結局のところを繋がっているわけですから、
　　59:00	最善を期待しながら、顕在意識にあなたの考えを強く持たせてください。	★
　　59:05	そうすれば、潜在意識はあなたの考えに沿った結果を表してくれます。	★
　　59:07	
　　59:12	水がその器によって様々に形を変えるように、
　　59:17	生命の源である潜在意識もあなたの考えに応じて形作られます。
　　59:23	それがあなたに喜びを与え、
　　59:26	成功へ導いてくれると信じていたら、あなたは成功を手にし、喜びを与えることがないでしょう。
　　59:31	
　　59:32	[音楽]



　　59:35	生命の原理
　　59:38	フランス　ルルドの医学調査での記録に、ビールという目の不自由な婦人が再び光を
　　59:45	取り戻したとあります。
　　59:47	このルルドは、フランス南西部の巡礼地で奇跡の地とされているところです。
　　59:54	1858年、
　　59:56	この地の貧しい粉屋の娘、ベルナデッド・スレビが
　　60:00	聖母マリアを目撃し、彼女の触れた岩から泉が噴き出したと言われています。
　　60:02	
　　60:06	その出来事以来、数々の軌跡がここで起こっているからです。
　　60:10	あまりに多くの奇跡が起こったので、その調査のための特殊医学機関も設けられているほどです。
　　60:15	
　　60:18	その話を聞きつけたビール夫人は、ルルドへ向かいました。
　　60:22	するとそこで、彼女にいわゆる奇跡的な治癒が起こったのです。
　　60:28	1955年の11月、
　　60:30	ある雑誌にビール夫人について次のような記事が載っていました。
　　60:36	何人もの医師が繰り返し検査した結果、彼女の視神経は死んでいると断言されました。
　　60:43	ところが信じられないことに、彼女はルルドで再び視力を取り戻したのです。
　　60:49	１ヶ月後、今まで何度となく受けた検査を再び受けてみると、ビール夫人の視覚機能は正常に
　　60:55	なっていたのです。
　　60:58	私も、数回ルルドを訪ねることがありますが、やはり同じような治癒の例を見てきています。
　　61:00	
　　61:06	このような例は、ルルドに限らず、
　　61:07	
　　61:09	またどんな宗教宗派に限らず世界中のあちこちの聖地と呼ばれるところにみられています。
　　61:15	
　　61:16	つまり、
　　61:17	ビール婦人をはじめ、これらの例は聖地によって癒されたのではなく、
　　61:23	心に強く信じていたことが、結果として、現れたに過ぎません。
　　61:28	信念は潜在意識の中の思想です。
　　61:32	あることを真実として受け入れることができれば、潜在意識は宇宙の法則に従って、
　　61:38	それを実行するだけです。
　　61:41	ビール夫人は奇跡の地　ルルド行けば、必ず自分にも奇跡が起こると堅く信じていたにちがいありません。
　　61:48	
　　61:50	その強い信念に潜在意識に応えたわけです。
　　61:54	根をつくったのが潜在意識ですから、
　　61:57	機能をなくしたものを復活させることができるのは当然のことなのです。
　　62:02	生命の原理とは、自分の作ったものは再び作り直すことができるということです。	★



　　62:10	健全な心に健全な体
　　62:14	私の古くからの友人が、南アフリカのヨハネスブルグに住んでいます。
　　62:16	
　　62:19	その彼から、潜在意識の力を使って奇跡的な事が起こったという手紙が送られてきました。
　　62:26	それによると、彼は肺がんということだったのですが、
　　62:30	しかし現代医学では、諦めしかなかったその病気を彼は自分自身で完治させたのがそうです。
　　62:36	
　　62:37	彼もその方法は、自己暗示によって、潜在意識の力を全開させることでした。
　　62:44	まず、身も心も十分にリラックスさせます。
　　62:45	
　　62:48	つま先から、こし、腕、肩、頭と一つ一つ力を抜いていき、
　　62:54	完全にリラックスした状態を作ります。
　　62:58	そして、次のように暗示をかけます。
　　62:59	
　　63:02	今、私は完全が健康を取り戻そうとしている。
　　63:07	私の潜在意識の力で、それを取り戻すことができるから。
　　63:11	宇宙が完全であるように、宇宙の中の一部である私も完全だ。
　　63:17	私の潜在意識は、常に宇宙のエネルギーと通じている。
　　63:22	私の肉体は、潜在意識の力によって完全になる。
　　63:27	彼は、この暗示を繰り返すことによって、自分の体の中からその病を追い払い、
　　63:33	健康を再び取り戻したということです。
　　63:37	このように、自己暗示にかける方法と、もう一つは、イメージを描く方法があります。
　　63:44	機能障害を起こして、身動きがとれない人に私は、「イメージを鮮明に描くこと」を勧めました。
　　63:51	例えば、
　　63:52	会社の中で一生懸命仕事をしている自分の健康な姿をイメージしてみるのです。
　　63:59	それも、
　　64:00	ごく細かな部分までイメージするようにアドバイスしました。
　　64:04	机の引き出しを開いて見て、
　　64:07	電話や来客の応対などに、日常の業務のことを全て
　　64:11	イメージするのです。
　　64:13	彼は、自分が張り切って仕事をしながら、毎日を送っているところをイメージしていると、胸
　　64:19	がワクワクしてきたそうです。
　　64:22	顕在意識は、映写機と同じです。	★
　　64:24	
　　64:26	映写機から映し出された、活き活きとした自分を見ると、潜在意識がその姿を現実のもの
　　64:33	とするために、働き始めます。	★
　　64:36	彼が、そのイメージトレーニングを始めて数週間後のことでした。
　　64:41	家族全員が外出中に電話がかかってきたとき、
　　64:45	彼は自分の力で、４メートル離れている電話のところまで歩き、
　　64:50	受話器を取ることができたのです。
　　64:53	彼のイメージが、
　　64:55	潜在意識に到達し、
　　64:57	彼の望みを叶えるために力を発揮したわけです。
　　65:01	彼も機能障害の正体は、心の障害だったのです。
　　65:03	
　　65:06	そのため、脳からの命令を足まで到達させることができなかったんですね。
　　65:12	心の障害さえ取り除けば、私たちの体は、とても素直に応えてくれます。
　　65:16	
　　65:18	[音楽]



　　65:22	セッション３のまとめ

　　65:25	第１に、潜在意識は肉体をも支配し、生命活動を維持しています。
　　65:27	
　　65:30	
　　65:33	第２に、眠る前にあなたの願いを唱えてごらんなさい。奇跡があなたに起こるでしょう。
　　65:35	
　　65:36	
　　65:39	
　　65:42	第３に、あなたが思うことはどんなことでも、あなたの人生の過程として経験として表明されます。
　　65:44	
　　65:49	
　　65:51	ですから、潜在意識に流れ込む思想を注意深く、見張らなくてはなりません。
　　65:52	
　　65:56	
　　65:58	第４に、内なるスピリットの法則にが作用反作用の関係があります。
　　66:00	
　　66:06	あなたの考えることが作用、その考えに対する潜在意識の答えが反作用です。
　　66:08	
　　66:11	
　　66:14	第５に、挫折は失望から始まります。
　　66:16	
　　66:18	あなたがネガティブなことばかり考えていると、潜在意識はそれに反応するので、
　　66:20	自分の夢や願望を放棄することになってしまいます。

　　66:28	第６に、あなたの潜在意識の力を100%信じていれば、生命の原理、
　　66:30	
　　66:37	または内なるスピリットの法則に伴って、安全な調和を図れるでしょう。
　　66:41	
　　66:44	これはすべての争いを解消します。	★

　　66:48	第７に、心配・不安・恐怖などの感情はあなたの体のリズムを崩してしまいます。
　　66:50	
　　66:57	ですから常に、完全な肉体を望むことです。	★
　　67:01	あなたの全機能は再び、正常なリズムを取り戻すことでしょう。

　　67:06	第８に、顕在意識を最善の期待で満たすことです。
　　67:08	
　　67:11	そうすれば、潜在意識が忠実にその考えに沿った結果を与えてくれます。

　　67:19	第９に、あなたの望むことをイメージしてください。
　　67:20	
　　67:23	自分のなりたい姿ややりたいことを細かく頭に描いてみるのです。
　　67:28	そうすると、それが潜在意識に受け入れられた時、そのイメージ通りの自分になっていくはずです。
　　67:35	




　　67:43	セッション４。古代から宗教も文化も異なるさまざまな国で、共通する一つのことがあります。
　　67:49	それは病人が出たときの対処の仕方です。
　　67:53	医学などがまだ発達していない時代では、人々は祈祷師だとか、
　　67:57	神、仏、お守りなどにすがっていました。
　　68:01	しかも、病気を治せる人というのは選ばれたもので、神から不思議な力を与えられていると
　　68:08	考えられていましたから、
　　68:10	国や宗教で、その儀式は違うものの、どれも神に祈ることでその目的を達成させていたのです。
　　68:17	
　　68:18	この祈りが一種の暗示なわけです。
　　68:21	例えば、
　　68:23	古代ヘカテの女神が夢に現れれば、どんな病気でも癒やされるという言い伝えがあり
　　68:28	ました。
　　68:29	そこで、このヘカテの女神を夢に呼び出すための儀式が生まれました。
　　68:35	新月の夜、トカゲと松脂とニュウコウと薬草を混ぜ合わせ、すき砕き
　　68:42	そして祈るのです。
　　68:43	この気持ちの悪い儀式がより潜在意識に暗示を受け入れやすくするわけです。
　　68:50	儀式の後、眠りについた人々は夢で
　　68:54	ヘカテの女神を見て、目覚めると病気が癒されていたということです。
　　69:00	また、
　　69:01	古代寺院の司祭たちは患者達を催眠状態にし、あなたが眠っている間に神が訪れ
　　69:08	あなたの病気を治してくれるでしょう、と暗示をかけていました。
　　69:12	皆は神は絶対だと信じていましたから、
　　69:16	神が訪れたということで、彼らの病気は治ってしまうわけです。
　　69:21	現代においても、正規の医術による治療が失敗した時、このような神秘的な力を持つ治療師
　　69:28	によって、回復したという実例は数多くあります。これはその治療師によって
　　69:36	病人の潜在意識の中の治癒力が解放されるからです。
　　69:40	このように、治癒力を開放状態にするために用いられる
　　69:44	一見不思議な治療や薬の存在がヘカテの女神の例と同じ、
　　69:50	暗示を受け入れやすくするわけです。
　　69:53	この時の顕在意識、潜在意識の関係については、次のセッションで詳しくお話することにしましょう。
　　69:59	



　　70:02	聖書は潜在意識の仕様書
　　70:05	[音楽]
　　70:07	聖書の中に、次のような言葉があります。
　　70:11	そこで、あなたがたに言うが、なんでも祈り求めることは、すでにかなえられたと信じなさい。
　　70:19	そうすれば、その通りになるでしょう。
　　70:22	つまり、私たちが望み求めていることは、すでに達成されていると言ってますね。
　　70:28	真実だと受け入れたことは必ず将来、実現されるということです。
　　70:33	しかし、このテクニックが成功するか否かもあなたの考え方次第です。
　　70:39	一つの考えに自信を持ち、確信できるかどうかです。
　　70:44	求めるものは必ず手に入るという確信がそれです。
　　70:49	欲するものを手に入れようとしている自分や、すでに手に入れた時の自分をイメージすることです。
　　70:54	
　　70:55	そして、
　　70:56	不安や不信などのネガティブな考えを一切持たないことです。
　　71:01	聖書に記されたテクニックとはこういったことです。
　　71:05	宗教的に聖書を読解していくよりも、むしろ
　　71:09	テクニックのマニュアルとして読んでいくとわかりやすいでしょう。
　　71:13	地に種をまけば、蒔いた種の植物が生えてくるのは当然です。
　　71:18	人の心も同じです。
　　71:20	ある考えを心に巻けば、それはやがて成長し、あなたに結果という形で実を結ばせてくれるでしょう。
　　71:27	
　　71:28	さらに、
　　71:29	聖書の中から一例を出すなら、イエスキリストが目の不自由な人たちに起こした奇跡があります。
　　71:35	
　　71:37	イエスは、
　　71:38	彼らがそばに寄ってくると、
　　71:41	私にあなたがたの目を治すことができると信じますか？と聞きました。
　　71:46	彼らは、「主よ、信じます」と答えました。
　　71:50	そこでイエスは、彼らの目に触ってこう言いました。
　　71:53	「あなたがたの信仰通り、あなたがたの身になるように」とすると彼らの目は開かれました。
　　72:00	さらにイエスは彼らを厳しく戒めて、
　　72:04	誰にも知られないように気をつけなさいと言っています。
　　72:07	イエスの
　　72:09	あなたがたの信仰通り、あなたがたのみになるようにという言葉は彼らの潜在意識に訴えて
　　72:16	いたわけです。
　　72:18	信仰とはある意味で人が勝手に考え出した常識だとか、
　　72:23	理屈だとかを締め出して、潜在意識の力に完全に頼り切ることだと言ってもいいでしょう。
　　72:29	だからこそ、イエスに触ってもらえれば、
　　72:33	目が見えるようになるという暗示が生まれ、実際に触れることで
　　72:38	潜在意識の力を呼び覚まされ、奇跡が起きるわけです。
　　72:42	イエスは魔法を使ったのではなく、
　　72:46	彼らの潜在意識の力を引き出したにすぎません。
　　72:50	奇跡を起こしたのは、彼らの潜在意識だったのです。
　　72:55	その後イエスは、
　　72:56	誰にも知られないように気をつけなさいと言っていますが、
　　73:00	これは、治った患者たちがあれこれ論議しないようにと命じているのです。
　　73:06	というのは、
　　73:07	その力を信じていない者たちが、批判やあれこれ詮索するだろうと予知していたからです。
　　73:14	それらの意見や批判は、人々に恐怖や不安、不信をもたらします。
　　73:19	そのようなネガティブな感情は、せっかくの軌跡を台無しにしてしまう恐れがあるのです。
　　73:25	目の不自由な人々に限らず、
　　73:28	いろいろな病人たちがイエスによって癒されたのは、彼らの信仰とイエスの信仰とそして、
　　73:34	潜在意識の注力とが相乗効果として働いたからです。
　　73:40	イエスは、
　　73:41	自分の命じたことは絶対だと信じていましたし、
　　73:45	人々も彼の行うことは絶対だと確信していました。
　　73:49	イエスと人々の精神が交わったとき、
　　73:52	ネガティブな感情や考えは一切取り除かれ、真に望む結果が生み出されたわけです。
　　73:59	イエスは、自分の命令が人々の潜在意識に対する訴えであること、そして、自身と権威を持って
　　74:06	語った言葉には、潜在意識は答えてくれることを知っていたのです。
　　74:11	これこそが、イエスの起こした数々の奇跡の実態なのです。



　　74:16	[音楽]
　　74:18	世界の奇跡の真実
　　74:19	[音楽]
　　74:21	世界各地で、
　　74:23	様々な奇跡が落ちています。
　　74:26	私が日本を訪れた時のことです。
　　74:29	伝統ある巨大な大仏像を目にしたとき、その深い恍惚の表情で瞑想にふける姿に、
　　74:36	心が洗われる思いがしました。
　　74:39	するとそこへ、一人の女性がお経を唱えながら大仏にお供え物をしに現れました。
　　74:46	ガイドの説明によると、彼女は以前、何かが原因で口がきけなくなってしまったのだそうです。
　　74:53	その彼女が、
　　74:55	毎日のようにここに来て断食を続けながら、
　　74:58	大仏に祈願すると、ある日突然言葉を取り戻すことができたと言うのです。
　　75:03	彼女は、
　　75:04	信仰を潜在意識にまで到達させ、その結果、
　　75:08	言葉を取り戻すことができたのですね。
　　75:11	また、
　　75:13	同じような例が、
　　75:14	私の身内にもありました。
　　75:17	結核になった私の親戚は、日ごと悪化するその病状に大変苦しんでいて、
　　75:23	そこへ彼の息子が父親の容体を聞き、駆けつけてきました。
　　75:27	その時彼は、父親にお守りとして指輪を持ってきました。
　　75:32	彼が言うにはその指輪は十字架が一片で作られたもので、
　　75:37	ヨーロッパのある聖地から戻ってきた修道士に譲ってもらったものだということでした。
　　75:43	彼の父親はその指輪を胸にだき、
　　75:47	一晩中祈り明かしました。
　　75:49	驚いたことに、その翌日、父親の容態はすっかり良くなっていました。
　　75:54	検査の結果もすべて正常でした。
　　75:57	しかし、
　　75:58	その指輪が修道士からもらった十字架で作られたものというのは、息子の作り話で、本当は
　　76:04	道端に落ちていた木片で作られた、単なる指輪に過ぎなかったのです。
　　76:10	もうお分かりですね。
　　76:12	聖地や修道士、
　　76:14	さらには十字架そのものが奇跡を起こすのではなく、あなたの信じる気持ち
　　76:20	それによって描かれるイメージこそが本当の力を持っているわけです。
　　76:26	彼の父親はその後、その指輪の真相を知ることはありませんでした。
　　76:30	もし彼が真実を知ればきっと、病気は再発したでしょう。
　　76:35	真相を知る人たちにしてみればまるでトリックのように感じますが、実際、
　　76:41	病気などというものはこの程度のものなんです。
　　76:44	信じるということが、どれだけ大きな力を持つかという証ですね。



　　76:50	[音楽]
　　76:52	唯一の治療者
　　76:55	今までの話で、人間が本来持っている治癒力を活性化させることで、いかなる病気も
　　77:02	いかなる傷も直せることは十分理解いただけたかと思います。
　　77:07	ただ、
　　77:08	国や宗教によって方法は異なりますが、いずれの場合も共通するものがあります。
　　77:14	それが潜在意識の働きです。
　　77:17	今一度、基本となる心理を思い出してください。	★
　　77:21	あなたには、
　　77:23	顕在意識と潜在意識があるということ。
　　77:26	潜在意識は暗示によって影響を受けやすく、
　　77:30	またあなたの身体の行動、自律神経、
　　77:34	五感などの感覚を完全に支配しているということです。
　　77:38	今このプログラムをお聴きの彼方、
　　77:41	催眠状態の人に暗示をかければその人がどうなるか、
　　77:45	もうお分かりですね。
　　77:47	その通り、暗示通りの状態を見せてくれます。
　　77:51	例えば、水を入れた茶碗を顔の前に差し出して、
　　77:56	「これには胡椒がいっぱい入っています。匂いを嗅いでごらんなさい」と言えば、その人は
